region	chrom	start	end	n_snps	mean_bmap	assigned_gene	assignment_tier	assignment_evidence	nearest_gene	nearest_distance	n_molqtl_genes	molqtl_multiplicity	l2g_genes
1_4917460_4917460	1	4917460	4917460	1	959.0	AJAP1	nearest	closest|dist=64866bp	AJAP1	64866	0		
1_5348639_5348639	1	5348639	5348639	1	982.0	AJAP1	nearest	closest|dist=496045bp	AJAP1	496045	0		
1_106131147_106131147	1	106131147	106131147	1	920.0	LINC01676	molqtl	sets=1,tissues=1,mods=sqtl	PRMT6	1468150	1	LINC01676|sets=1|tissues=1|mods=sqtl	
1_116732423_116732423	1	116732423	116732423	1	896.0	MAB21L3	nearest	closest|dist=51652bp	MAB21L3	51652	0		
1_164097640_164097640	1	164097640	164097640	1	785.0	PBX1	nearest	closest|dist=427182bp	PBX1	427182	0		
1_247627001_247628307	1	247627001	247628307	2	891.5	AHCTF1	molqtl	sets=2,tissues=1,mods=sqtl	OR2B11	5594	1	AHCTF1|sets=2|tissues=1|mods=sqtl	OR2B11(0.38)
10_25593349_25593541	10	25593349	25593541	2	896.5	GPR158	nearest	closest|dist=0bp	GPR158	0	0		
10_26184344_26184344	10	26184344	26184344	1	785.0	MYO3A	nearest	closest|dist=38800bp	MYO3A	38800	0		
10_59743156_59743156	10	59743156	59743156	1	887.0	IPMK	nearest	closest|dist=208122bp	IPMK	208122	0		
10_67279509_67279509	10	67279509	67279509	1	872.0	CTNNA3	nearest	closest|dist=392707bp	CTNNA3	392707	0		CTNNA3(0.42)
10_127116552_127116552	10	127116552	127116552	1	911.0	FANK1	molqtl	sets=1,tissues=1,mods=eqtl	TEX36	148540	2	UROS|sets=1|tissues=1|mods=eqtl;FANK1|sets=1|tissues=1|mods=eqtl	
10_132883127_132883127	10	132883127	132883127	1	978.0	TCERG1L	nearest	closest|dist=7528bp	TCERG1L	7528	0		
11_5373738_5373738	11	5373738	5373738	1	905.0	OR51E2	molqtl	sets=1,tissues=1,mods=sqtl	HBG2	0	1	OR51E2|sets=1|tissues=1|mods=sqtl	
11_24791431_24792057	11	24791431	24792057	3	983.0	LUZP2	nearest	closest|dist=0bp	LUZP2	0	0		
11_133338872_133338872	11	133338872	133338872	1	865.0	OPCML	l2g	L2G=0.83	OPCML	0	0		OPCML(0.83),IGSF9B(0.06)
13_37973335_37973335	13	37973335	37973335	1	940.0	POSTN	nearest	closest|dist=163385bp	POSTN	163385	0		
13_59433547_59433547	13	59433547	59433547	1	704.0	DIAPH3	nearest	closest|dist=806171bp	DIAPH3	806171	0		
