6	3014101	3514101
6	4164707	4664707
6	7760768	8694583
6	9634109	10134109
6	11152048	11652933
6	38990639	39490639
6	40454427	40954427
6	70818561	71318561
6	74363213	74878560
6	78930171	79608112
6	81794542	82294542
6	103682987	104182987
6	111715632	112215632
6	112276078	112776078
6	130333350	130833350
6	131554334	132461763
6	138438453	138939511
6	143639241	144146897
6	150159088	150659088
6	157878039	158380888
6	158483692	159182860
6	159317658	159817658
6	164150644	164650644
6	165025367	165525367
6	166423913	166923913
