2	610448	1110448
2	869227	1389647
2	1117943	1617943
2	1355422	1855422
2	1594058	2094058
2	7381263	7930503
2	10732107	11232107
2	13989328	14489418
2	16698300	17198300
2	33889753	34393379
2	35494203	35994203
2	35621491	36202400
2	41987228	42487228
2	81786385	82286385
2	100831583	101331583
2	109670379	110170379
2	118144782	118644782
2	128564544	129064544
2	167770091	168276675
2	172807724	173307724
2	179681196	180183235
2	182346707	182846707
2	209366650	209878871
2	214476989	214976989
2	223666532	224313117
2	223712045	224212045
2	224388996	224888996
2	224637004	225137004
2	227841374	228341374
2	229800426	230300426
2	236015715	236515715
2	237515359	238101485
2	237718214	238218421
2	240867578	241368322
