1	4346288	4851724
1	4667460	5171516
1	5098639	5598914
1	5946517	6446517
1	8034019	8534019
1	17148069	17650061
1	23965473	24470278
1	34052265	34552265
1	58842501	59342501
1	81052425	81552425
1	81177559	81677559
1	93777347	94562706
1	94215677	94715677
1	102528250	103028250
1	103362149	103862149
1	105239817	105756748
1	105875135	106381147
1	116482423	116991307
1	157939881	158441394
1	158107321	158607321
1	163836244	164347640
1	165346399	165846399
1	179191326	179691326
1	195575342	196079664
1	196536069	197036069
1	211434627	211934627
1	216409036	216914711
1	220629533	221129533
1	224017541	224533515
1	233672640	234172640
1	238605190	239105190
1	244235817	244735817
1	246130688	246660558
1	247377001	247878307
1	248874258	249374258
