region	chrom	start	end	span_bp	n_tsps	min_support	max_support	orig_regions
1_4917460_4917460	1	4917460	4917460	0	1	86	86	1_4346288_5598914
1_5348639_5348639	1	5348639	5348639	0	1	83	83	1_4346288_5598914
1_106131147_106131147	1	106131147	106131147	0	1	92	92	1_105875135_106381147
1_116732423_116732423	1	116732423	116732423	0	1	94	94	1_116482423_116991307
1_164097640_164097640	1	164097640	164097640	0	1	91	91	1_163836244_164347640
1_247627001_247628307	1	247627001	247628307	1306	2	90	95	1_247377001_247878307
2_1138967_1139647	2	1138967	1139647	680	5	81	98	2_610448_2094058
2_35952400_35952400	2	35952400	35952400	0	1	82	82	2_35494203_36202400
2_42237228_42237228	2	42237228	42237228	0	1	85	85	2_41987228_42487228
2_224638996_224638996	2	224638996	224638996	0	1	85	85	2_224388996_225137004
2_224887004_224887004	2	224887004	224887004	0	1	92	92	2_224388996_225137004
2_237968214_237968421	2	237968214	237968421	207	3	87	91	2_237515359_238218421
4_12087957_12087957	4	12087957	12087957	0	1	89	89	4_11837957_12341911
4_32200878_32200878	4	32200878	32200878	0	1	82	82	4_31950878_32896855
4_56144663_56147967	4	56144663	56147967	3304	3	93	94	4_55787628_56397967
4_57918296_57919705	4	57918296	57919705	1409	4	82	100	4_57448600_59529374
4_58495926_58495926	4	58495926	58495926	0	1	95	95	4_57448600_59529374
4_71210148_71211089	4	71210148	71211089	941	7	92	99	4_70860866_71636175
4_71386175_71386175	4	71386175	71386175	0	1	96	96	4_70860866_71636175
4_115378707_115379737	4	115378707	115379737	1030	6	97	100	4_115128668_115634571
4_141921518_141921518	4	141921518	141921518	0	1	89	89	4_141666900_142171518
4_144655489_144662054	4	144655489	144662054	6565	12	82	100	4_144248455_145168152
4_165753488_165753488	4	165753488	165753488	0	1	83	83	4_165236233_166003488
4_172136342_172136342	4	172136342	172136342	0	1	87	87	4_171886342_172386342
4_180069715_180069715	4	180069715	180069715	0	1	98	98	4_179819715_180319715
5_8017470_8024003	5	8017470	8024003	6533	16	89	100	5_7767470_8274003
5_16919819_16919992	5	16919819	16919992	173	2	100	100	5_16399258_17441835
5_29637400_29637695	5	29637400	29637695	295	2	89	95	5_29387400_29887695
6_39240639_39240639	6	39240639	39240639	0	1	90	90	6_38990639_39490639
6_166673913_166673913	6	166673913	166673913	0	1	81	81	6_166423913_166923913
7_158537244_158537244	7	158537244	158537244	0	1	88	88	7_158283002_158787244
8_23411778_23411778	8	23411778	23411778	0	1	81	81	8_23152878_23661778
10_25593349_25593541	10	25593349	25593541	192	2	99	99	10_25343349_25898263
10_26184344_26184344	10	26184344	26184344	0	1	91	91	10_25934344_26594103
10_59743156_59743156	10	59743156	59743156	0	1	83	83	10_59045237_60529701
10_67279509_67279509	10	67279509	67279509	0	1	85	85	10_67028595_67529509
10_127116552_127116552	10	127116552	127116552	0	1	81	81	10_126866552_127948161
10_132883127_132883127	10	132883127	132883127	0	1	85	85	10_132633127_133332602
11_5373738_5373738	11	5373738	5373738	0	1	90	90	11_4541934_5681041
11_24791431_24792057	11	24791431	24792057	626	3	98	100	11_24541431_25044582
11_133338872_133338872	11	133338872	133338872	0	1	98	98	11_133088872_133588872
13_37973335_37973335	13	37973335	37973335	0	1	96	96	13_37720955_38223335
13_59433547_59433547	13	59433547	59433547	0	1	87	87	13_59183547_59700873
14_24249394_24249394	14	24249394	24249394	0	1	88	88	14_23999394_24502487
14_89538401_89538401	14	89538401	89538401	0	1	91	91	14_89288401_89789744
16_78487452_78487452	16	78487452	78487452	0	1	92	92	16_78126201_78738838
17_70908702_70908702	17	70908702	70908702	0	1	81	81	17_70658606_71158780
19_22710420_22710420	19	22710420	22710420	0	1	98	98	19_22460257_22960420
21_41206052_41208874	21	41206052	41208874	2822	9	88	97	21_40882612_41458874
